id,default_code,name,categ,kiss_cost,btv_cost,cmn_cost,kiss_taxes,btv_taxes,cmn_taxes,kiss_stx,btv_stx,cmn_stx,kiss_sellers,btv_sellers,cmn_sellers,route_ids,tracking
15463,TWT060,MALISSA-KISS Total White Underarm Toner 60 ml,Finished Goods / Finished Goods - Domestic,29.85,29.85,29.85,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
30244,TWT060-CL,MALISSA-KISS Total White Underarm Toner 60 ml [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
15464,,MALISSA-KISS Velvet Matte Lip 3.8 g,Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
30245,,MALISSA-KISS Velvet Matte Lip 3.8 g [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
30246,WMU015-CL,MALISSA-KISS White Me Up Sleeping Pack 15 g [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
15466,WMU030,MALISSA-KISS White Me Up Sleeping Pack 30 g,Finished Goods / Finished Goods - Domestic,38.67,38.67,38.67,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
30247,WMU030-CL,MALISSA-KISS White Me Up Sleeping Pack 30 g [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
30248,WBM030-CL,MALISSA-KISS White Me Up White Booster Moisturize 30 g [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
15468,,MALISSA-KISS Whitening Perfume Lotion 226 g,Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
30249,,MALISSA-KISS Whitening Perfume Lotion 226 g [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7|5|16,lot
33262,PLM226-CL-20,MALISSA-KISS Whitening Perfume Lotion 226 g [CL] [Summer Sale],Finished Goods / Finished Goods - Domestic,21.53,21.53,21.53,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5,lot
15469,,MALISSA-KISS Whitening Perfume Lotion 75 g,Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
30250,,MALISSA-KISS Whitening Perfume Lotion 75 g [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
15470,,MALISSA-KISS Whitening Perfume Lotion SPF30 PA+++ 200 g,Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7|5|16,lot
30251,,MALISSA-KISS Whitening Perfume Lotion SPF30 PA+++ 200 g [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
33263,LSS200-CL-20,MALISSA-KISS Whitening Perfume Lotion SPF30 PA+++ 200 g [CL] [Summer Sale],Finished Goods / Finished Goods - Domestic,27.377576,27.377576,27.377576,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5,lot
31175,MDCW100,MIDOO Melt-away Cleansing Water 100 ml,Finished Goods / Finished Goods - Domestic,43,43,43,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7|5,lot
33504,MRMR-SET-BLK-PRP,MIRIMIRI Hair Band Towel Set Black with Purple Pouch (pouch + Band),Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,5,lot
33491,MRMR-SET-WHT-PRP,MIRIMIRI Hair Turban Towel Set White with Purple Pouch (pouch + turban),Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,5,lot
31574,MRMR-TURBAN-WHT,MIRIMIRI Hair Turban Towel WHT Minky (turban only),Finished Goods / Finished Goods - Imported,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7,lot
33344,MIRIMIRI-CMB-CATWOOD,MIRIMIRI Massage Hair Comb-CATWOOD,Finished Goods / Finished Goods - Imported,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7,lot
30351,GWP-MIRI-MINI-HB001,MIRIMIRI New Bristle Hair Blush (หวีขนหมูป่า mini),Finished Goods / Finished Goods - Imported,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7,lot
30924,,MIRIMIRI Satin Hair Band,Finished Goods / Finished Goods - Imported,0,0,0,2|20|38,2|20|38,2|20|38,3|19|37,3|19|37,3|19|37,1,1,1,7,lot
31169,,MONT DE LUR CRYSTAL BROAD-SPECTRUM SUNSCREEN SPF50 PA++++ 50 ml-Philippines,Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7|5|16,lot
31174,MLSM050,MONT-DE-LUR Tinted Mousse Sunscreen SPF50 PA++++ 50 g,Finished Goods / Finished Goods - Domestic,111.28,111.28,111.28,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7|5,lot
15471,MGB010,MOONA-HOUSE Cream Serum 10 ml,Finished Goods / Finished Goods - Domestic,6.68,6.68,6.68,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7|5|16,lot
30252,MGB010-CL,MOONA-HOUSE Cream Serum 10 ml [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
15472,MPS005,MOONA-HOUSE Eau De Parfum 5 ml,Finished Goods / Finished Goods - Domestic,20.07,20.07,20.07,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
30253,MPS005-CL,MOONA-HOUSE Eau De Parfum 5 ml [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,0,0,0,7|5|16,lot
15474,,MOONA-HOUSE Serum 10 ml,Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,2,2,2,7|5|16,lot
30254,,MOONA-HOUSE Serum 10 ml [CL],Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,1,1,1,7|5|16,lot
15503,,MOONA-HOUSE White Perfume Lotion 40 g,Finished Goods / Finished Goods - Domestic,0,0,0,2|20|38,2|20|38,2|20|38,1|19|37,1|19|37,1|19|37,5,5,5,7|5|16,lot
